Tram ID,Station,Direction,Tram Type,Timestamp,Wait Time (s),Time Slot
REF,Socijalno,Ilidža-Baščaršija,,23.5.2025. 17:19:33,,Rush hour
TRAM101,Socijalno,Ilidža-Baščaršija,Old,23.5.2025. 17:23:12,219,Rush hour
REF,Socijalno,Basčaršija-Ilidža,,23.5.2025. 17:23:41,,Rush hour
TRAM102,Socijalno,Ilidža-Baščaršija,New,23.5.2025. 17:24:38,86,Rush hour
TRAM103,Socijalno,Basčaršija-Ilidža,New,23.5.2025. 17:27:18,217,Rush hour
TRAM104,Socijalno,Ilidža-Baščaršija,Old,23.5.2025. 17:28:45,247,Rush hour
TRAM105,Socijalno,Basčaršija-Ilidža,Old,23.5.2025. 17:28:49,91,Rush hour
TRAM106,Socijalno,Ilidža-Baščaršija,New,23.5.2025. 17:32:19,214,Rush hour
TRAM107,Socijalno,Basčaršija-Ilidža,New,23.5.2025. 17:32:41,232,Rush hour
TRAM108,Socijalno,Ilidža-Baščaršija,New,23.5.2025. 17:33:54,95,Rush hour
TRAM109,Socijalno,Basčaršija-Ilidža,Old,23.5.2025. 17:36:18,217,Rush hour
TRAM110,Socijalno,Basčaršija-Ilidža,New,23.5.2025. 17:37:22,64,Rush hour
TRAM111,Socijalno,Ilidža-Baščaršija,Old,23.5.2025. 17:38:28,274,Rush hour
TRAM112,Socijalno,Basčaršija-Ilidža,Old,23.5.2025. 17:41:55,273,Rush hour
TRAM113,Socijalno,Ilidža-Baščaršija,New,23.5.2025. 17:42:17,229,Rush hour
TRAM114,Socijalno,Ilidža-Baščaršija,Old,23.5.2025. 17:43:52,95,Rush hour
TRAM115,Socijalno,Basčaršija-Ilidža,Old,23.5.2025. 17:45:47,232,Rush hour
TRAM116,Socijalno,Basčaršija-Ilidža,New,23.5.2025. 17:47:11,84,Rush hour
TRAM117,Socijalno,Ilidža-Baščaršija,New,23.5.2025. 17:49:06,314,Rush hour
TRAM118,Socijalno,Basčaršija-Ilidža,Old,23.5.2025. 17:52:38,327,Rush hour
TRAM119,Socijalno,Ilidža-Baščaršija,Old,23.5.2025. 17:52:44,218,Rush hour
TRAM120,Socijalno,Basčaršija-Ilidža,New,23.5.2025. 17:55:14,156,Rush hour
